xx,mac,xx,省份,城市,合作商,网点,点位
,00:e0:70:2e:00:20,,浙江省,金华市,,金华站,某个位置
,00:e0:70:2e:00:21,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:22,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:23,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:24,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:25,,浙江省,丽水市,,缙云西站,某个位置
,00:e0:70:2e:00:26,,浙江省,丽水市,,缙云西站,某个位置
,00:e0:70:2e:00:27,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:28,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:29,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:30,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:31,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:32,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:33,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:34,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:35,,浙江省,金华市,,永康南站,某个位置
,00:e0:70:2e:00:36,,浙江省,金华市,,永康南站,某个位置
,00:e0:70:2e:00:37,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:38,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:39,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:40,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:41,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:42,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:43,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:44,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:45,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:46,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:47,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:48,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:49,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:50,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:51,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:52,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:53,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:54,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:55,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:56,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:57,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:58,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:59,,浙江省,金华市,,金华站,某个位置
,00:e0:70:2e:00:60,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:61,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:62,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:63,,浙江省,金华市,,永康南站,某个位置
,00:e0:70:2e:00:64,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:65,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:66,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:67,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:68,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:69,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:70,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:71,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:72,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:73,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:74,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:75,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:76,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:77,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:78,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:79,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:80,,浙江省,杭州市,,杭州火车东站,某个位置
,00:e0:70:2e:00:81,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:82,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:83,,浙江省,丽水市,,丽水火车站,某个位置
,00:e0:70:2e:00:84,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:85,,浙江省,金华市,,永康南站,某个位置
,00:e0:70:2e:00:86,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:87,,浙江省,金华市,,金华南站,某个位置
,00:e0:70:2e:00:88,,浙江省,绍兴市,,绍兴东站,某个位置
,00:e0:70:2e:00:89,,浙江省,温州市,,温州南,某个位置
,00:e0:70:2e:00:90,,浙江省,丽水市,,丽水火车站,某个位置
